"date","flow"
2016-01-08,5.77428572518485
2016-01-15,5.58714280809675
2016-01-22,5.40142856325422
2016-01-29,8.32285703931536
2016-02-08,25.7999997820173
2016-02-15,28.0285712650844
2016-02-22,22.985714503697
2016-02-29,18.3857143947056
2016-03-08,14.7571430206299
2016-03-15,16.9714285986764
2016-03-22,19.9714287349156
2016-03-29,19.0285715375628
2016-04-08,12.4428570611136
2016-04-15,16.0142857687814
2016-04-22,12.7285713468279
2016-04-29,13.8285713195801
2016-05-08,10.3228572436741
2016-05-15,6.38571432658604
2016-05-22,5.08714280809675
2016-05-29,4.89142853873117
2016-06-08,3.6185713836125
2016-06-15,2.98428572927202
2016-06-22,3.91857147216797
2016-06-29,2.73285715920585
2016-07-08,2.69571433748518
2016-07-15,2.79285713604518
2016-07-22,2.09857141971588
2016-07-29,1.89142855576106
2016-08-08,1.94857144355774
2016-08-15,1.54428570611136
2016-08-22,1.8542856999806
2016-08-29,2.25714288439069
2016-09-08,2.70571432794843
2016-09-15,2.1457142829895
2016-09-22,1.88714286259242
2016-09-29,1.79285713604518
2016-10-08,1.63857141562871
2016-10-15,1.50857142039708
2016-10-22,1.41857142107827
2016-10-29,1.61571429456983
2016-11-08,3.6800000326974
2016-11-15,2.56000001089913
2016-11-22,7.53714282172067
2016-11-29,12.1571429116385
2016-12-08,9.71857152666364
2016-12-15,8.70285701751709
2016-12-22,7.84285722460066
2016-12-29,11.0285715375628
2017-01-08,7.83857141222273
2017-01-15,7.95999997002738
2017-01-22,9.56857149941581
2017-01-29,11.6571429116385
2017-02-08,9.10999992915562
2017-02-15,7.53000000544957
2017-02-22,7.35142857687814
2017-03-01,10.0642858232771
2017-03-08,15.3000000544957
2017-03-15,14.6714286804199
2017-03-22,19.0285715375628
2017-03-29,16.2714286531721
2017-04-08,10.0957142966134
2017-04-15,7.25999995640346
2017-04-22,5.98428569521223
2017-04-29,6.7857141494751
2017-05-08,5.96857139042446
2017-05-15,4.72428567068917
2017-05-22,3.88714289665222
2017-05-29,2.98000001907349
2017-06-08,2.87714287212917
2017-06-15,2.65857141358512
2017-06-22,2.27285712105887
2017-06-29,2.24857142993382
2017-07-08,2.42000000817435
2017-07-15,1.76857142789023
2017-07-22,1.56285715103149
2017-07-29,1.458571434021
2017-08-08,1.58428568499429
2017-08-15,1.30714283670698
2017-08-22,1.5628571340016
2017-08-29,1.43999998910087
2017-09-08,1.94000000613076
2017-09-15,2.71285712718964
2017-09-22,3.10571432113647
2017-09-29,3.03714288984026
2017-10-08,2.9514285836901
2017-10-15,19.1000001089913
2017-10-22,23.6142858777727
2017-10-29,22.9000004359654
2017-11-08,24.6285716465541
2017-11-15,22.8714286259242
2017-11-22,24.2000004904611
2017-11-29,32.9428577423096
2017-12-08,40.3428568158831
2017-12-15,33.9000004359654
2017-12-22,30.5
2017-12-29,28.4999997275216
2018-01-08,46.2571427481515
2018-01-15,34.7142857142857
2018-01-22,24.6142858777727
2018-01-29,25.9285711560931
2018-02-08,32.3285715920585
2018-02-15,22.6571431841169
2018-02-22,17.58571434021
2018-03-01,13.4000000272478
2018-03-08,10.5271429334368
2018-03-15,9.92428575243269
2018-03-22,9.6871429170881
2018-03-29,12.3914286749704
2018-04-08,19.3428569521223
2018-04-15,48.514285496303
2018-04-22,51.5714280264718
2018-04-29,35.2571430206299
2018-05-08,23.0285712650844
2018-05-15,13.5000001362392
2018-05-22,8.26000002452305
2018-05-29,5.54999998637608
2018-06-08,3.64999999318804
2018-06-15,3.17428568431309
2018-06-22,3.14857145718166
2018-06-29,3.14285717691694
2018-07-08,2.06999998433249
2018-07-15,1.77571427822113
2018-07-22,1.52000001498631
2018-07-29,1.41428571087973
2018-08-08,2.14999997615814
2018-08-15,2.04142854894911
2018-08-22,2.74714285986764
2018-08-29,1.86285713740758
2018-09-08,1.63285713536399
2018-09-15,1.80142855644226
2018-09-22,1.60714285714286
2018-09-29,2.14714283602578
2018-10-08,1.87428573199681
2018-10-15,1.59571429661342
2018-10-22,1.44285716329302
2018-10-29,1.62142857483455
2018-11-08,2.27000001498631
2018-11-15,1.97571429184505
2018-11-22,1.78999999591282
2018-11-29,1.68571429593222
2018-12-08,4.35714285714286
2018-12-15,6.57428564344134
2018-12-22,5.37285716193063
2018-12-29,4.569999899183
2019-01-08,6.05571433476039
2019-01-15,7.6942857333592
2019-01-22,6.18714278084891
2019-01-29,5.08857134410313
2019-02-08,5.29285710198539
2019-02-15,15.6057143211365
2019-02-22,33.4142853873117
2019-03-01,29.9428569248744
2019-03-08,23.1285713740758
2019-03-15,24.6142858777727
2019-03-22,37.0571430751256
2019-03-29,38.1428565979004
2019-04-08,19.599999836513
2019-04-15,15.3285713195801
2019-04-22,11.7185713904245
2019-04-29,7.90428570338658
2019-05-08,6.05714287076678
2019-05-15,4.94857147761754
2019-05-22,3.92714285850525
2019-05-29,4.43142860276358
2019-06-08,3.61428574153355
2019-06-15,3.05142859050206
2019-06-22,2.44857144355774
2019-06-29,2.17857146263123
2019-07-08,3.24714282580784
2019-07-15,2.21857145854405
2019-07-22,3.9242856502533
2019-07-29,2.53142857551575
2019-08-08,1.99428570270538
2019-08-15,4.06857146535601
2019-08-22,4.11999998773847
2019-08-29,3.59571429661342
2019-09-08,2.76142856052944
2019-09-15,2.83714280809675
2019-09-22,2.53000000544957
2019-09-29,2.13714282853263
2019-10-08,3.53428571564811
2019-10-15,3.94571430342538
2019-10-22,8.91571426391602
2019-10-29,9.33285713195801
2019-11-08,7.35571438925607
2019-11-15,10.5214285169329
