"date","wind_speed","wind_dir","precip"
2000-01-06,2.94453833342664,159.853048366585,2.95128491951876e-05
2000-01-13,5.32095699993714,232.218275673994,3.32253474497708e-05
2000-01-20,4.26646357086432,303.107383011671,1.56846917960271e-05
2000-01-27,3.3926756102298,297.132789693803,7.48718527660901e-06
2000-02-03,3.91808546482264,255.828755040878,7.93340394648942e-05
2000-02-10,4.11168164720554,262.976993936661,2.13638385035916e-05
2000-02-17,4.21842767772545,241.821431923098,2.20735892072495e-05
2000-02-24,1.789842678855,285.634018345029,3.46488426311392e-06
2000-03-02,4.70714848712313,226.079735012773,8.54359556832389e-05
2000-03-09,4.82358182184191,262.564037671954,9.74446637303374e-05
2000-03-16,3.75789208771373,291.220383288696,2.82491049760539e-05
2000-03-23,3.2273067666623,300.243398063322,7.60015202847734e-06
2000-03-30,2.96618243322143,278.951464072995,5.20331705575118e-07
2000-04-06,3.20224401494869,274.628759035475,4.67785049782213e-05
2000-04-13,2.97464697351142,292.576648980947,9.84351196962099e-06
2000-04-20,3.07099575656425,239.244474335652,9.21939919250615e-05
2000-04-27,2.68534892195991,265.514560035765,3.69926174628358e-05
2000-05-04,2.57419786699745,241.97047319332,4.3370674630192e-05
2000-05-11,2.7109992089027,270.482243284616,3.25549639475177e-06
2000-05-18,3.51937613450167,270.8989064789,1.47769640069815e-07
2000-05-25,2.4900112730712,242.000447770084,0.000128528207207816
2000-06-01,4.46439922956231,204.796130891415,0.000151475291855018
2000-06-08,3.64055306518982,285.148549787798,0.000121661197988181
2000-06-15,4.98362242386664,245.891297515488,2.54180897095344e-05
2000-06-22,3.30445573813626,258.225465458035,4.53013791166697e-05
2000-06-29,2.46864001292166,233.344172738716,0.000128274317285688
2000-07-06,2.8491623445082,313.652642043204,0.000153144118871255
2000-07-13,2.4981535688535,233.616327572642,0.000234039153452877
2000-07-20,2.87308923652817,277.427328959521,0.000251650555961326
2000-07-27,3.08539908971579,285.334055146632,0.000258438830778143
2000-08-03,1.94411019673567,316.838069021274,6.14852926696913e-05
2000-08-10,3.21181217170272,274.026773132476,1.62957392265878e-05
2000-08-17,2.40386312089682,237.035759987224,7.15883999529496e-05
2000-08-24,3.08224085762497,246.549753281596,4.04072942806752e-05
2000-08-31,2.60732231953518,212.375075898044,4.45163172450996e-05
2000-09-07,2.73748144681433,269.584954026958,8.45168171112189e-05
2000-09-14,3.90050418721653,275.398064823197,2.81937626784214e-05
2000-09-21,2.39077336046736,237.362321813059,3.16535120891742e-06
2000-09-28,2.06148532835042,237.120926689745,1.4001030761864e-06
2000-10-05,3.56809371665462,170.805722678223,6.62624169797614e-05
2000-10-12,3.89733805667693,137.394533430608,5.04430779441332e-05
2000-10-19,2.82515877050084,184.489890137146,8.44386532475525e-05
2000-10-26,3.37116724300318,200.538497057919,8.24936852823036e-05
2000-11-02,3.71640235658358,255.441439326027,0.000185173616260844
2000-11-09,3.40473260324607,171.423835518336,0.000139695370007411
2000-11-16,2.60031465394626,185.380939446331,6.1764856853608e-05
2000-11-23,3.64008034493309,215.935114274205,0.000173522636261329
2000-11-30,2.7711660753817,151.890466950473,0.000148687067024812
2000-12-07,3.65195976540949,216.962713932719,4.25188596779725e-05
2000-12-14,3.50470317409068,202.638061301716,0.000133650507704151
2000-12-21,2.71814633118958,278.339900322895,6.10956144296605e-05
2000-12-28,2.53300815916988,274.356300213503,6.97940543235221e-06
2001-01-04,3.14944662231911,269.582494160194,0.000220282876190698
2001-01-11,3.28192082771412,214.986977714904,9.97056860875435e-05
2001-01-18,2.80277847613027,280.447693013806,1.86698574898146e-06
2001-01-25,2.49159749632594,233.164840605456,6.63035423149092e-05
2001-02-01,2.11007159441447,265.857438822745,2.54114447669893e-05
2001-02-08,3.28669520067385,335.494017886729,5.37912003500456e-05
2001-02-15,3.90136098410119,254.404794426034,0.000100827449735458
2001-02-22,4.3934543371331,292.468139244873,3.27661894690854e-05
2001-03-01,3.09278514541248,360.482672082886,2.95478990874714e-05
2001-03-08,3.99952423586186,290.539733138318,3.52832793083449e-05
2001-03-15,2.96779037340677,186.607938909108,5.70283571139652e-05
2001-03-22,3.04029414161005,359.252027316613,2.65591496905742e-05
2001-03-29,2.39657233416529,275.484772845675,1.19062594332984e-05
2001-04-05,4.16647603900673,207.84579015584,6.10437521479868e-05
2001-04-12,3.50920483680239,224.99973429189,5.96413510632776e-05
2001-04-19,3.7602446840382,284.97373058685,4.86846995393554e-05
2001-04-26,2.97821491269691,316.917408084191,6.288794101835e-05
2001-05-03,3.01678953254556,201.608431505706,2.39964660940764e-05
2001-05-10,3.05202381892749,316.325968553474,2.91745019376748e-05
2001-05-17,2.24022622473238,242.675238634754,1.57919480889697e-05
2001-05-24,3.43781064570911,255.504020884804,8.04564734410889e-05
2001-05-31,3.20592835284556,320.790235058385,1.85700228834554e-05
2001-06-07,2.55666916655595,246.945808645189,1.78051483008197e-05
2001-06-14,3.6216554816864,251.120937403256,7.48987516535922e-05
2001-06-21,2.79778088092795,329.031255712849,8.1751965026067e-05
2001-06-28,3.11714594429336,340.589818890517,4.63248295526418e-05
2001-07-05,3.00703126220312,226.791333026143,4.01963997004035e-05
2001-07-12,2.64211100212725,214.655532001072,0.000169660659477831
2001-07-19,3.19332971391868,257.360877591975,0.000167006002267594
2001-07-26,1.99733909846563,235.102522908526,7.32613068893269e-05
2001-08-02,3.12092740575818,273.424375847187,8.90336024967217e-06
2001-08-09,2.92915383057174,214.591479000683,0.000176547675118603
2001-08-16,3.66022557965554,231.452230643836,9.63875610995627e-05
