date,flow
2000-01-06,-28.3423858997453
2000-01-13,-56.9784542016751
2000-01-20,-58.4762466151819
2000-01-27,-38.1058129160249
2000-02-03,-29.7639286599827
2000-02-10,-35.5713188298165
2000-02-17,-41.5087221792215
2000-02-24,-29.9629182779126
2000-03-02,-29.1852167247755
2000-03-09,-49.4489251733774
2000-03-16,-47.2007309789643
2000-03-23,-35.9897523779363
2000-03-30,-24.4596125368484
2000-04-06,-18.5528997834019
2000-04-13,-14.696563026005
2000-04-20,-18.240588973225
2000-04-27,-13.5349635190667
2000-05-04,-9.50695495477196
2000-05-11,-7.39825856118793
2000-05-18,-6.33423245354153
2000-05-25,-6.33354747452188
2000-06-01,-5.60586693634351
2000-06-08,-4.4746734048677
2000-06-15,-10.6458584810884
2000-06-22,-1.68301258948112
2000-06-29,-4.4780027986283
2000-07-06,-7.92693754706681
2000-07-13,-6.13062999245788
2000-07-20,-20.4955070647668
2000-07-27,-51.1292671677916
2000-08-03,-54.1566090572107
2000-08-10,-20.7512344546788
2000-08-17,-12.2498686573805
2000-08-24,-7.95024276628138
2000-08-31,-6.83643261131217
2000-09-07,-5.95736954965463
2000-09-14,-4.4274784651068
2000-09-21,-4.30567496865003
2000-09-28,-4.38131923031965
2000-10-05,-4.01611525279566
2000-10-12,-3.44318346100221
2000-10-19,-7.1992240273249
2000-10-26,-4.48609555330853
2000-11-02,-19.2024299472585
2000-11-09,-43.3251008471095
2000-11-16,-50.9251853784969
2000-11-23,-70.6738296456056
2000-11-30,-115.915190449096
2000-12-07,-96.6951327729504
2000-12-14,-69.1822426084469
2000-12-21,-78.0838674578334
2000-12-28,-48.3445980994389
2001-01-04,-35.5786220524911
2001-01-11,-70.3393937433424
2001-01-18,-63.6934330425867
2001-01-25,-38.9225419298495
2001-02-01,-43.7505347086717
2001-02-08,-32.9513620711318
2001-02-15,-59.3568198659971
2001-02-22,-71.3058671376884
2001-03-01,-52.3573208110672
2001-03-08,-35.734329457993
2001-03-15,-51.7018140317658
2001-03-22,-60.7629278742307
2001-03-29,-39.1171758291637
2001-04-05,-43.2559586448094
2001-04-12,-48.7717843808741
2001-04-19,-40.9985836349847
2001-04-26,-47.5856926164555
2001-05-03,-38.52670439315
2001-05-10,-25.2346089710792
2001-05-17,-15.6554499926255
2001-05-24,-15.9458112885641
2001-05-31,-10.5726338518721
2001-06-07,-8.61390480509042
2001-06-14,-6.05148333703467
2001-06-21,-5.5703110281115
2001-06-28,-4.81052803978288
2001-07-05,-4.52820109412333
2001-07-12,-6.41932001249332
2001-07-19,-3.74983157435384
2001-07-26,-5.57670976041434
2001-08-02,-4.25284793537616
2001-08-09,-3.77217235138826
2001-08-16,-4.56910557698997
2001-08-23,-3.31660225945773
2001-08-30,-10.9122342706347
2001-09-06,-7.6936809294639
2001-09-13,-9.89256181706428
2001-09-20,-17.0978470804082
2001-09-27,-12.5462621045449
2001-10-04,-11.1530266632974
2001-10-11,-9.06303572238934
2001-10-18,-14.2226510749093
2001-10-25,-11.5502712420901
2001-11-01,-14.1721656406036
2001-11-08,-39.1407034502223
2001-11-15,-31.7165112760408
2001-11-22,-26.7469082375295
2001-11-29,-26.2138986456387
2001-12-06,-28.94902655917
2001-12-13,-27.7253413878275
2001-12-20,-16.8539656081055
2001-12-27,-19.2015822532883
2002-01-03,-13.0950695753709
2002-01-10,-11.8262543891744
2002-01-17,-22.9807926503907
2002-01-24,-65.9356414213437
2002-01-31,-50.1272105677763
2002-02-07,-78.6179431050899
2002-02-14,-136.742477992171
2002-02-21,-107.495315906965
2002-02-28,-77.4107398739327
2002-03-07,-60.9002149104427
2002-03-14,-105.446445394148
2002-03-21,-90.0132727316238
2002-03-28,-85.2423171423621
2002-04-04,-61.9605510262144
2002-04-11,-39.4828887274742
2002-04-18,-25.9183883690954
2002-04-25,-18.5465133590837
2002-05-02,-14.0004632634489
2002-05-09,-14.9794756268888
2002-05-16,-12.3405683234066
2002-05-23,-8.06952061608292
2002-05-30,-6.11475888834547
2002-06-06,-5.39469616124187
2002-06-13,-6.27319932865965
2002-06-20,-8.21405016984128
2002-06-27,-8.42193928024144
2002-07-04,-19.4364351968808
2002-07-11,-19.0351301966632
2002-07-18,-8.88313027597761
2002-07-25,-45.3878767591922
2002-08-01,-37.7791620468869
2002-08-08,-12.628873960217
2002-08-15,-7.61540745225147
2002-08-22,-5.66866557885968
2002-08-29,-4.36805208874091
2002-09-05,-4.61427181489723
2002-09-12,-2.99688678348993
2002-09-19,-3.12928748535819
2002-09-26,-4.23651408010922
2002-10-03,-3.26518936462013
2002-10-10,-2.26390995480276
2002-10-17,-3.29935151562497
2002-10-24,-2.39364712558472
2002-10-31,-5.82636057661214
2002-11-07,-6.20558291121688
2002-11-14,-2.84569417733862
2002-11-21,-7.08368786104952
2002-11-28,-20.6672741713126
2002-12-05,-30.5555485376247
2002-12-12,-17.580880158826
2002-12-19,-12.2350527249566
2002-12-26,-10.8595355143494
2003-01-02,-8.86726799489182
2003-01-09,-5.3341251987873
2003-01-16,-12.1153605256814
2003-01-23,-29.2121965425699
2003-01-30,-46.9553451165446
2003-02-06,-33.9544740726699
2003-02-13,-23.3540951494991
2003-02-20,-16.7776831582555
2003-02-27,-13.7570692255423
2003-03-06,-11.2468372155603
2003-03-13,-17.5620198457027
2003-03-20,-44.8544745417379
2003-03-27,-35.5706577604858
2003-04-03,-24.0805908505245
2003-04-10,-26.8451698182048
2003-04-17,-37.3376488414364
2003-04-24,-23.0938506350609
2003-05-01,-21.6176046530914
2003-05-08,-81.4595978221008
2003-05-15,-50.1706348600848
2003-05-22,-24.0480816750748
2003-05-29,-16.1785565930255
2003-06-05,-12.6843080342014
2003-06-12,-9.96631654247957
2003-06-19,-11.908515407184
2003-06-26,-13.1986555259462
2003-07-03,-10.84415409173
2003-07-10,-7.78839120516028
2003-07-17,-5.12122460237751
2003-07-24,-6.08821443473326
2003-07-31,-2.66838391275402
2003-08-07,-2.92090666845185
2003-08-14,-4.01115801805672
2003-08-21,-5.79593103169142
2003-08-28,-1.52590455198463
2003-09-04,-5.5134357794161
2003-09-11,-2.81090159728559
2003-09-18,-3.87010601133532
2003-09-25,-4.7143972539321
2003-10-02,-3.64025573792158
2003-10-09,-8.39359699883282
2003-10-16,-5.58391745025386
2003-10-23,-4.95560418053355
2003-10-30,-5.88587776989102
2003-11-06,-9.05506656908695
2003-11-13,-8.05505807790937
2003-11-20,-8.04093353792845
2003-11-27,-17.0177735261955
2003-12-04,-40.7875410518001
2003-12-11,-33.2570041356691
2003-12-18,-32.8574670053638
2003-12-25,-46.9989452057956
2004-01-01,-93.312420578672
2004-01-08,-75.8136434004432
2004-01-15,-45.2973873764421
2004-01-22,-33.8120239764526
2004-01-29,-26.5435230699229
2004-02-05,-24.4057143458843
2004-02-12,-52.0448277866522
2004-02-19,-39.3308068932336
2004-02-26,-34.9850865155823
2004-03-04,-23.8883958647675
2004-03-11,-20.8957607698042
2004-03-18,-30.5744370609112
2004-03-25,-89.9248729481105
2004-04-01,-70.455973494637
2004-04-08,-54.1660325604309
2004-04-15,-36.4332761494938
2004-04-22,-21.1271716256368
2004-04-29,-19.4925963604024
2004-05-06,-13.4636817800788
2004-05-13,-9.59769159617508
2004-05-20,-9.86878092853468
2004-05-27,-8.43756772582282
2004-06-03,-8.49108485530124
2004-06-10,-11.7124408672911
2004-06-17,-8.57230406154248
2004-06-24,-9.479898611511
2004-07-01,-11.1731490182072
2004-07-08,-13.0363800006575
2004-07-15,-11.5535893176018
2004-07-22,-12.2471323777451
2004-07-29,-8.28786965145367
2004-08-05,-5.53368388930781
2004-08-12,-4.46159107902835
2004-08-19,-4.78595318623405
2004-08-26,-2.21007428120274
2004-09-02,-7.43746683104438
2004-09-09,-3.98507781715627
2004-09-16,-5.99787420371171
2004-09-23,-5.47906670894325
2004-09-30,-8.05053413866051
2004-10-07,-7.48902144999282
2004-10-14,-6.40826618141014
2004-10-21,-6.72703120434744
2004-10-28,-13.0893208584643
2004-11-04,-11.0582109101988
2004-11-11,-8.22650940787022
2004-11-18,-11.7434686131946
2004-11-25,-12.51564130624
2004-12-02,-6.26303127060181
2004-12-09,-26.9260451801102
2004-12-16,-51.4806527320443
2004-12-23,-41.5633055504697
2004-12-30,-31.4850923496074
2005-01-06,-34.6545790570132
2005-01-13,-65.0076964851022
2005-01-20,-53.4806587470541
2005-01-27,-47.4837233959598
2005-02-03,-31.3176862249403
2005-02-10,-29.3423332816412
2005-02-17,-27.0351940282189
2005-02-24,-24.7283193353608
2005-03-03,-19.3085893862573
2005-03-10,-15.4741945335691
2005-03-17,-13.840957618373
2005-03-24,-14.1160176438801
2005-03-31,-59.4193862060522
2005-04-07,-57.9690099922791
2005-04-14,-40.2618764434132
2005-04-21,-24.307541176269
2005-04-28,-16.7921152141593
2005-05-05,-15.9069091486167
2005-05-12,-19.5011926567261
2005-05-19,-13.9981684882826
2005-05-26,-9.6854672322888
2005-06-02,-7.68539100627521
2005-06-09,-12.9129974633974
2005-06-16,-26.9614400853395
2005-06-23,-14.799979479583
2005-06-30,-9.67717415709355
2005-07-07,-7.04084665184753
2005-07-14,-5.92134216165564
2005-07-21,-6.49883253503813
2005-07-28,-21.4238205198255
2005-08-04,-16.5212875235441
2005-08-11,-32.9334152585502
2005-08-18,-43.8440219824011
2005-08-25,-17.227109488119
2005-09-01,-18.1130247501515
2005-09-08,-11.2157452327606
2005-09-15,-7.92993311395339
2005-09-22,-3.23058769588115
2005-09-29,-4.93879369732732
2005-10-06,-4.50565746073256
2005-10-13,-3.10720291971046
2005-10-20,-3.33940834347431
2005-10-27,-6.23277354226449
2005-11-03,-6.15109061668613
2005-11-10,-6.85164450913458
2005-11-17,-4.66185340558497
2005-11-24,-7.2166210947476
2005-12-01,-5.86677187764561
2005-12-08,-10.3510334423762
2005-12-15,-25.0635316081294
2005-12-22,-19.3731270696386
2005-12-29,-14.741255196554
2006-01-05,-14.5836131313287
2006-01-12,-14.2003170808543
2006-01-19,-16.0907921234918
2006-01-26,-11.6790661338321
2006-02-02,-20.0953038997534
2006-02-09,-42.1380477394788
2006-02-16,-26.3070243848
2006-02-23,-18.1620338776344
2006-03-02,-16.9230225167944
2006-03-09,-13.0808954535842
2006-03-16,-10.9374217052249
2006-03-23,-10.4813142603953
2006-03-30,-11.3223168170099
2006-04-06,-31.4299486625117
2006-04-13,-67.7657478815484
2006-04-20,-116.735079563408
2006-04-27,-113.057375301873
2006-05-04,-71.5515522687775
2006-05-11,-36.0548550197725
2006-05-18,-21.5796762133973
2006-05-25,-18.1764995204619
2006-06-01,-17.1744355656057
2006-06-08,-17.6807166801242
2006-06-15,-10.1162355980113
2006-06-22,-7.87707741745783
2006-06-29,-7.23032481814436
2006-07-06,-5.99285802868506
2006-07-13,-5.47165470610572
2006-07-20,-2.7883999371543
2006-07-27,-3.8675948368839
2006-08-03,-2.06579694982458
2006-08-10,-5.42860699524767
2006-08-17,-8.33768440088928
2006-08-24,-5.23808523799615
2006-08-31,-7.80260675359952
2006-09-07,-7.37292741308438
2006-09-14,-6.79559488336484
2006-09-21,-5.22324039550436
2006-09-28,-2.14450626676749
2006-10-05,-3.99763893130037
2006-10-12,-4.28617844861971
2006-10-19,-3.36199911026015
2006-10-26,-13.7559438280233
2006-11-02,-39.1897438069168
2006-11-09,-45.4950388850185
2006-11-16,-43.57169726942
2006-11-23,-69.6090192504035
2006-11-30,-68.9600055470335
2006-12-07,-44.0311341000436
2006-12-14,-52.6220392224845
2006-12-21,-33.2350379486147
2006-12-28,-23.3086666800738
2007-01-04,-24.4894111719137
2007-01-11,-36.1014329206248
2007-01-18,-71.3041849773795
2007-01-25,-75.3347187749548
2007-02-01,-47.2345982370655
2007-02-08,-38.8301211730899
2007-02-15,-28.2965632885082
2007-02-22,-23.3109877577596
2007-03-01,-18.2709579920331
2007-03-08,-19.695667801855
2007-03-15,-68.7674982658401
2007-03-22,-67.6695066870203
2007-03-29,-51.4679167989996
2007-04-05,-28.6949809228146
2007-04-12,-17.4783506265343
2007-04-19,-13.8028633766388
2007-04-26,-21.6096275229532
2007-05-03,-12.8794088033261
2007-05-10,-9.63517164353637
2007-05-17,-8.25383004922835
2007-05-24,-7.34748877038432
2007-05-31,-4.17907638700838
2007-06-07,-6.12008751756577
2007-06-14,-4.09711789617527
2007-06-21,-5.28355915350674
2007-06-28,-4.30989985566664
2007-07-05,-4.3105617314381
2007-07-12,-4.66272581053303
2007-07-19,-7.33263252141619
2007-07-26,0.8686825313115
2007-08-02,-4.37682119621402
2007-08-09,-1.71647222494392
2007-08-16,-5.16320207694008
2007-08-23,-1.26781010286227
2007-08-30,-3.27085802761438
2007-09-06,-3.29050661389984
2007-09-13,-4.2745511697065
2007-09-20,-5.97816602272618
2007-09-27,-4.01683355659163
2007-10-04,-4.42522560005921
2007-10-11,-3.45650564118751
2007-10-18,-5.50109089333964
2007-10-25,-4.19264244441184
2007-11-01,-6.30918672405185
2007-11-08,-4.51875920527745
2007-11-15,-15.1121493351196
2007-11-22,-12.9842081731253
2007-11-29,-13.3719573059613
2007-12-06,-34.6737382252203
2007-12-13,-77.0145166493661
2007-12-20,-52.627311005473
2007-12-27,-32.8648681756463
2008-01-03,-29.3882490157959
2008-01-10,-32.0947951219642
2008-01-17,-50.3120887222708
2008-01-24,-65.0859277725237
2008-01-31,-62.2274934549528
2008-02-07,-68.3681366454941
2008-02-14,-69.6792681431706
2008-02-21,-45.6651498915474
2008-02-28,-31.3074951888022
2008-03-06,-44.3386328176007
2008-03-13,-49.9961591816302
2008-03-20,-60.401245068264
2008-03-27,-44.952652941373
2008-04-03,-37.3587320432767
2008-04-10,-35.1659397182552
2008-04-17,-60.5902772281926
